"DEP,C,3","NCCENR,C,70","NCCCT,C,70"
1,Pont-de-Veyle,Pont-de-Veyle
1,Port,Nantua
1,Pougny,Collonges
1,Pouillat,Treffort-Cuisiat
1,Pr‚meyzel,Belley
1,Pr‚millieu,Hauteville-Lompnes
1,Pressiat,Treffort-Cuisiat
1,Pr‚vessin-Mo‰ns,Ferney-Voltaire
1,Priay,Pont-d'Ain
1,Proulieu,
1,Pugieu,Virieu-le-Grand
1,Ramasse,Ceyz‚riat
1,Ranc‚,Reyrieux
1,Relevant,Saint-Trivier-sur-Moignans
1,Replonges,Bƒg‚-le-Chƒtel
1,Revonnas,Ceyz‚riat
1,Reyrieux,Reyrieux
1,Reyssouze,Pont-de-Vaux
1,Rignat,
1,Rignieux-le-Franc,Meximieux
1,Rillieux,
1,RomanŠche,
1,Romans,Chƒtillon-sur-Chalaronne
1,Rossillon,Virieu-le-Grand
1,Ruffieu,Champagne-en-Valromey
1,Saint-Alban,Poncin
1,Saint-Andr‚-de-Bƒg‚,Bƒg‚-le-Chƒtel
1,Saint-Andr‚-de-Corcy,Reyrieux
1,Saint-Andr‚-d'Huiriat,Pont-de-Veyle
1,Saint-Andr‚-le-Bouchoux,Chƒtillon-sur-Chalaronne
1,Saint-Andr‚-sur-Vieux-Jonc,P‚ronnas
1,Saint-B‚nigne,Pont-de-Vaux
1,Saint-BenoŒt,Lhuis
1,Saint-Bernard,Tr‚voux
1,Saint-Bois,Belley
1,Saint-Champ,Belley
1,Sainte-Croix,Montluel
1,Saint-Cyr-sur-Menthon,Pont-de-Veyle
1,Saint-Denis-lŠs-Bourg,Viriat
1,Saint-Denis-en-Bugey,Amb‚rieu-en-Bugey
1,Saint-Didier-d'Aussiat,Montrevel-en-Bresse
1,Saint-Didier-de-Formans,Tr‚voux
1,Saint-Didier-sur-Chalaronne,Thoissey
1,Saint-loi,Meximieux
1,Saint-tienne-du-Bois,Treffort-Cuisiat
1,Saint-tienne-sur-Chalaronne,Thoissey
1,Saint-tienne-sur-Reyssouze,Pont-de-Vaux
1,Sainte-Euph‚mie,Reyrieux
1,Saint-Genis-Pouilly,Ferney-Voltaire
1,Saint-Genis-sur-Menthon,Pont-de-Veyle
1,Saint-Georges-sur-Renon,Chƒtillon-sur-Chalaronne
1,Saint-Germain-de-Joux,Bellegarde-sur-Valserine
1,Saint-Germain-les-Paroisses,Belley
1,Saint-Germain-sur-Renon,Villars-les-Dombes
1,Saint-Jean-de-Gonville,Collonges
1,Saint-Jean-de-Niost,Meximieux
1,Saint-Jean-de-Thurigneux,Reyrieux
1,Saint-Jean-le-Vieux,Poncin
1,Saint-Jean-sur-Reyssouze,Saint-Trivier-de-Courtes
1,Saint-Jean-sur-Veyle,Pont-de-Veyle
1,Sainte-Julie,Lagnieu
1,Saint-Julien-sur-Reyssouze,Saint-Trivier-de-Courtes
1,Saint-Julien-sur-Veyle,Chƒtillon-sur-Chalaronne
1,Saint-Just,P‚ronnas
1,Saint-Laurent-sur-Sa“ne,Bƒg‚-le-Chƒtel
1,Saint-Marcel,Villars-les-Dombes
1,Saint-Martin-de-Bavel,Virieu-le-Grand
1,Saint-Martin-du-Frˆne,Nantua
1,Saint-Martin-du-Mont,Pont-d'Ain
1,Saint-Martin-le-Chƒtel,Montrevel-en-Bresse
1,Saint-Maurice-de-Beynost,Miribel
1,Saint-Maurice-d'chazeaux,
1,Saint-Maurice-de-Gourdans,Meximieux
1,Saint-Maurice-de-R‚mens,Amb‚rieu-en-Bugey
1,Saint-Nizier-le-Bouchoux,Saint-Trivier-de-Courtes
1,Saint-Nizier-le-D‚sert,Chalamont
1,Sainte-Olive,Saint-Trivier-sur-Moignans
1,Saint-Paul-de-Varax,Villars-les-Dombes
1,Saint-Rambert-en-Bugey,Saint-Rambert-en-Bugey
1,Saint-R‚my,P‚ronnas
1,Saint-Sorlin-en-Bugey,Lagnieu
1,Saint-Sulpice,Montrevel-en-Bresse
1,Saint-Trivier-de-Courtes,Saint-Trivier-de-Courtes
1,Saint-Trivier-sur-Moignans,Saint-Trivier-sur-Moignans
1,Saint-Vulbas,Lagnieu
1,Salavre,Coligny
1,Samognat,Izernore
1,Sandrans,Chƒtillon-sur-Chalaronne
1,Sathonay-Camp,
1,Sathonay-Village,
1,Sault-Br‚naz,Lagnieu
1,Sauverny,Ferney-Voltaire
1,Savigneux,Saint-Trivier-sur-Moignans
1,S‚gny,Gex
1,Seillonnaz,Lhuis
1,Sergy,Ferney-Voltaire
1,Sermoyer,Pont-de-Vaux
1,SerriŠres-de-Briord,Lhuis
1,SerriŠres-sur-Ain,Izernore
1,Servas,P‚ronnas
1,Servignat,Saint-Trivier-de-Courtes
1,Seyssel,Seyssel
1,Simandre-sur-Suran,Ceyz‚riat
1,Songieu,Champagne-en-Valromey
1,Sonthonnax-la-Montagne,Izernore
1,Souclin,Lagnieu
1,Sulignat,Chƒtillon-sur-Chalaronne
1,Surjoux,Bellegarde-sur-Valserine
1,Sutrieu,Champagne-en-Valromey
1,Talissieu,Champagne-en-Valromey
1,Tenay,Saint-Rambert-en-Bugey
1,Th‚zillieu,Hauteville-Lompnes
1,Thil,Miribel
1,Thoiry,Ferney-Voltaire
1,Thoissey,Thoissey
1,Torcieu,Saint-Rambert-en-Bugey
1,Tossiat,Pont-d'Ain
1,Toussieux,Reyrieux
1,Tramoyes,Reyrieux
1,TrancliŠre,Pont-d'Ain
1,Treffort-Cuisiat,Treffort-Cuisiat
1,Tr‚voux,Tr‚voux
1,Valeins,Thoissey
1,Vandeins,Viriat
1,Varambon,Pont-d'Ain
1,Vaux-en-Bugey,Lagnieu
1,Verjon,Coligny
1,Vernoux,Saint-Trivier-de-Courtes
1,Versailleux,Chalamont
1,Versonnex,Ferney-Voltaire
1,Vesancy,Gex
1,Vescours,Saint-Trivier-de-Courtes
1,V‚senex-Crassy,
1,V‚sines,Bƒg‚-le-Chƒtel
1,Veyziat,
1,Vieu-d'Izenave,Br‚nod
1,Vieu,Champagne-en-Valromey
1,Villars-les-Dombes,Villars-les-Dombes
1,Villebois,Lagnieu
1,Villemotier,Coligny
1,Villeneuve,Saint-Trivier-sur-Moignans
1,Villereversure,Ceyz‚riat
1,Villes,Bellegarde-sur-Valserine
1,Villette-sur-Ain,Chalamont
1,Villieu-Loyes-Mollon,Meximieux
1,Viriat,Viriat
1,Virieu-le-Grand,Virieu-le-Grand
1,Virieu-le-Petit,Champagne-en-Valromey
1,Virignin,Belley
1,Volognat,
1,Vongnes,Virieu-le-Grand
1,Vonnas,Chƒtillon-sur-Chalaronne
1,Vouvray,
1,Hauteville-Lompn‚s,
2,Abb‚court,Chauny
2,Achery,FŠre
2,Acy,Braine
2,Agnicourt-et-S‚chelles,Marle
2,Aguilcourt,Neufchƒtel-sur-Aisne
2,Aisonville-et-Bernoville,Guise
2,Aizelles,Craonne
2,Aizy-Jouy,Vailly-sur-Aisne
2,Alaincourt,Mo˜-de-l'Aisne
2,Allemant,Vailly-sur-Aisne
2,Ambleny,Vic-sur-Aisne
2,Ambrief,Oulchy-le-Chƒteau
2,Amifontaine,Neufchƒtel-sur-Aisne
2,Amigny-Rouy,Chauny
2,Ancienville,Villers-Cotterˆts
2,Andelain,FŠre
2,Anguilcourt-le-Sart,FŠre
2,Anizy-le-Chƒteau,Anizy-le-Chƒteau
2,Annois,Saint-Simon
2,Any-Martin-Rieux,Aubenton
2,Archon,Rozoy-sur-Serre
2,Arcy-Sainte-Restitue,Oulchy-le-Chƒteau
2,ArmentiŠres-sur-Ourcq,Neuilly-Saint-Front
2,Arrancy,Laon-Sud
2,Artemps,Saint-Simon
2,Artonges,Cond‚-en-Brie
2,Assis-sur-Serre,Cr‚cy-sur-Serre
2,Athies-sous-Laon,Laon-Sud
2,Attilly,Vermand
2,Aubencheul-aux-Bois,Catelet
2,Aubenton,Aubenton
2,Aubigny-aux-Kaisnes,Saint-Simon
2,Aubigny-en-Laonnois,Craonne
2,Audignicourt,Coucy-le-Chƒteau-Auffrique
2,Audigny,Guise
2,Augy,Braine
2,Aulnois-sous-Laon,Laon-Nord
2,Autels,Rozoy-sur-Serre
2,Autremencourt,Marle
2,Autreppes,Vervins
2,Autreville,Chauny
2,Azy-sur-Marne,Chƒteau-Thierry
2,Bagneux,Vic-sur-Aisne
2,Bancigny,Vervins
2,Barbonval,
2,Barenton-Bugny,Cr‚cy-sur-Serre
2,Barenton-Cel,Cr‚cy-sur-Serre
2,Barenton-sur-Serre,Cr‚cy-sur-Serre
2,Barisis,Coucy-le-Chƒteau-Auffrique
2,Barzy-en-Thi‚rache,Nouvion-en-Thi‚rache
2,Barzy-sur-Marne,Cond‚-en-Brie
2,Bassoles-Aulers,Anizy-le-Chƒteau
2,Baulne-en-Brie,Cond‚-en-Brie
2,Bazoches-sur-Vesles,Braine
2,Beaum‚,Aubenton
2,Beaumont-en-Beine,Chauny
2,Beaurevoir,Catelet
2,Beaurieux,Craonne
2,Beautor,Tergnier
2,Beauvois-en-Vermandois,Vermand
2,Becquigny,Bohain-en-Vermandois
2,Belleau,Chƒteau-Thierry
2,Bellenglise,Catelet
2,Belleu,Soissons-Sud
2,Bellicourt,Catelet
2,Benay,Mo˜-de-l'Aisne
2,Bergues-sur-Sambre,Nouvion-en-Thi‚rache
2,Berlancourt,Sains-Richaumont
2,Berlise,Rozoy-sur-Serre
2,Bernot,Guise
2,Berny-RiviŠre,Vic-sur-Aisne
2,Berrieux,Craonne
2,Berry-au-Bac,Neufchƒtel-sur-Aisne
2,Bertaucourt-Epourdon,FŠre
2,Berthenicourt,Mo˜-de-l'Aisne
2,Bertricourt,Neufchƒtel-sur-Aisne
2,Berzy-le-Sec,Soissons-Sud
2,Besm‚,Coucy-le-Chƒteau-Auffrique
2,Besmont,Aubenton
2,Besny-et-Loizy,Laon-Nord
2,B‚thancourt-en-Vaux,Chauny
2,Beugneux,Oulchy-le-Chƒteau
2,Beuvardes,FŠre-en-Tardenois
2,B‚zu-le-Gu‚ry,Charly
2,B‚zu-Saint-Germain,Chƒteau-Thierry
2,Bichancourt,Coucy-le-Chƒteau-Auffrique
2,Bieuxy,Vic-sur-Aisne
2,BiŠvres,Laon-Sud
2,Billy-sur-Aisne,Soissons-Sud
2,Billy-sur-Ourcq,Oulchy-le-Chƒteau
2,Blanzy-lŠs-Fismes,Braine
2,Bl‚rancourdelle,
2,Bl‚rancourt,Coucy-le-Chƒteau-Auffrique
2,Blesmes,Chƒteau-Thierry
2,Bohain-en-Vermandois,Bohain-en-Vermandois
2,Bois-lŠs-Pargny,Cr‚cy-sur-Serre
2,Boncourt,Sissonne
2,Bonneil,Chƒteau-Thierry
2,Bonnesvalyn,Neuilly-Saint-Front
2,Bony,Catelet
2,Bosmont-sur-Serre,Marle
2,Bouconville-Vauclair,Craonne
2,Bou‚,Nouvion-en-Thi‚rache
2,Bouffignereux,Neufchƒtel-sur-Aisne
2,Bouresches,Chƒteau-Thierry
2,Bourg-et-Comin,Craonne
2,Bourguignon-sous-Coucy,Coucy-le-Chƒteau-Auffrique
2,Bourguignon-sous-Montbavin,Anizy-le-Chƒteau
2,Bouteille,Vervins
2,Braine,Braine
2,Brancourt-en-Laonnois,Anizy-le-Chƒteau
